Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\Program.cs,12,0,"M:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions.AddDefaultIdentity``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.Action{Microsoft.AspNetCore.Identity.IdentityOptions})",,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\Program.cs,12,0,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\Program.cs,12,0,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\Program.cs,10,0,T:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions,,,,,builder.Services.AddDatabaseDeveloperPageExceptionFilter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\B_DefaultTemplate_SQLite\DefaultTemplate\Program.cs,10,0,M:Microsoft.Extensions.DependencyInjection.DatabaseDeveloperPageExceptionFilterServiceExtensions.AddDatabaseDeveloperPageExceptionFilter(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,builder.Services.AddDatabaseDeveloperPageExceptionFilter();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 7.0.0,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 7.0.0  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 7.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 7.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,Microsoft.AspNetCore.Identity.UI 7.0.0,,,,,"Microsoft.AspNetCore.Identity.UI, 7.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,Microsoft.AspNetCore.MiddlewareAnalysis 7.0.0,,,,,"Microsoft.AspNetCore.MiddlewareAnalysis, 7.0.0  Recommendation:  Remove Microsoft.AspNetCore.MiddlewareAnalysis, and replace with new package Microsoft.AspNetCore.MiddlewareAnalysis 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Data\ApplicationDbContext.cs,8,12,M:Microsoft.AspNetCore.Identity.EntityFrameworkCore.IdentityDbContext.#ctor(Microsoft.EntityFrameworkCore.DbContextOptions),,,,,: base(options)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Data\ApplicationDbContext.cs,8,12,M:Microsoft.AspNetCore.Identity.EntityFrameworkCore.IdentityDbContext.#ctor(Microsoft.EntityFrameworkCore.DbContextOptions),,,,,: base(options)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Data\ApplicationDbContext.cs,5,40,T:Microsoft.AspNetCore.Identity.EntityFrameworkCore.IdentityDbContext,,,,,IdentityDbContext
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,25,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,21,4,T:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions,,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,21,4,M:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions.UseMigrationsEndPoint(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\DefaultTemplate.csproj,File,Chapter23\A_DefaultTemplate_LocalDB\DefaultTemplate\Program.cs,12,0,T:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions,,,,,builder.Services.AddDefaultIdentity<IdentityUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<ApplicationDbContext>();
